name,role,iplTeam,rankingScore
Tristan Stubbs,Wicket Keeper,DEC,149
Tushar Deshpande,Bowler,CHN,150
Ayush Badoni,Batsman,LUK,151
Nathan Ellis,Bowler,PNJ,152
Sai Kishore,Bowler,GJT,153
Chetan Sakariya,Bowler,KOL,154
Shivam Mavi,Bowler,LUK,155
Srikar Bharat,Wicket Keeper,KOL,156
Rishi Dhawan,All-Rounder,PNJ,157
M Shahrukh Khan,All-Rounder,GJT,158
Amit Mishra,Bowler,LUK,159
Mujeeb Ur Rahman,Bowler,KOL,160
Abdul Samad,Batsman,HYD,161
Sherfane Rutherford,Batsman,KOL,162
Akash Deep,All-Rounder,BNG,163
Krishnappa Gowtham,All-Rounder,LUK,164
Mayank Dagar,Bowler,BNG,165
Anukul Roy,All-Rounder,KOL,166
Donovan Ferreira,All-Rounder,RJS,167
Gus Atkinson,Bowler,KOL,168
Dushmantha Chameera,Bowler,KOL,169
Lalit Yadav,All-Rounder,DEC,170
Mahipal Lomror,All-Rounder,BNG,171
Ricky Bhui,Batsman,DEC,172
Mukesh Choudhary,Bowler,CHN,173
Nandre Burger,Bowler,RJS,174
Praveen Dubey,Bowler,DEC,175
Shahbaz Ahmed,All-Rounder,HYD,176
Suyash Prabhudessai,Batsman,BNG,177
Vishnu Vinod,Wicket Keeper,MUM,178
Yash Dayal,Bowler,BNG,179
Yash Thakur,Bowler,LUK,180
Abhinav Manohar,Batsman,GJT,181
Abid Mushtaq,All-Rounder,RJS,182
Abishek Porel,Wicket Keeper,DEC,183
Ajay Mandal,All-Rounder,CHN,184
Akash Madhwal,Bowler,MUM,185
Himanshu Sharma,Bowler,BNG,186
Angkrish Raghuvanshi,Batsman,KOL,187
Anmolpreet Singh,Batsman,HYD,188
Anshul Kamboj,All-Rounder,MUM,189
Aravelly Avanish,Wicket Keeper,CHN,190
Arjun Tendulkar,Bowler,MUM,191
Arshad Khan,Bowler,LUK,192
Akash Singh,Bowler,HYD,193
Ashutosh Sharma,Batsman,PNJ,194
Darshan Nalkande,Bowler,GJT,195
Harshit Rana,Bowler,KOL,196
Arshin Kulkarni,All-Rounder,LUK,197
Jhathavedh Subramanyan,Bowler,HYD,198
Kartik Tyagi,Bowler,GJT,199
Kuldeep Sen,Bowler,RJS,200
Kumar Kartikeya,Bowler,MUM,201
Kumar Kushagra,Wicket Keeper,DEC,202
Kunal Singh Rathore,Wicket Keeper,RJS,203
Manimaran Siddharth,Bowler,LUK,204
Manoj Bhandage,All-Rounder,BNG,205
Mayank Yadav,Bowler,LUK,206
Naman Dhir,Batsman,MUM,207
Nishant Sindhu,All-Rounder,CHN,208
Nitish Kumar Reddy,All-Rounder,HYD,209
Nuwan Thushara,Bowler,MUM,210
Prashant Solanki,Bowler,CHN,211
Prince Choudhary,Bowler,PNJ,212
Rajan Kumar,Bowler,BNG,213
Rajvardhan Hangargekar,All-Rounder,CHN,214
Ramandeep Singh,Batsman,KOL,215
Rasikh Salam,Bowler,DEC,216
Robin Minz,Wicket Keeper,GJT,217
Sakib Hussain,Bowler,KOL,218
Sameer Rizvi,Batsman,CHN,219
Sanvir Singh,All-Rounder,HYD,220
Saurav Chauhan,Batsman,BNG,221
Shaik Rasheed,Batsman,CHN,222
Shamar Joseph,Bowler,LUK,223
Shashank Singh,All-Rounder,PNJ,224
Shivalik Sharma,Batsman,MUM,225
Shivam Singh,All-Rounder,PNJ,226
Shubham Dubey,Batsman,RJS,227
Simarjeet Singh,Bowler,CHN,228
Spencer Johnson,Bowler,GJT,229
Sumit Kumar,All-Rounder,DEC,230
Sushant Mishra,Bowler,GJT,231
Swapnil Singh,All-Rounder,BNG,232
Swastik Chikara,Batsman,DEC,233
Tanay Thyagarajan,All-Rounder,PNJ,234
Upendra Yadav,Wicket Keeper,HYD,235
Vaibhav Arora,Bowler,KOL,236
Vicky Ostwal,Bowler,DEC,237
Vidwath Kaverappa,Bowler,PNJ,238
Vijaykumar Vyshak,Bowler,BNG,239
Vishwanath Singh,Batsman,PNJ,240
Yash Dhull,Batsman,DEC,241
Yudhvir Singh,Bowler,LUK,242
Wanindu Hasaranga,All-Rounder,HYD,243
Umran Malik,Bowler,HYD,244
Prerak Mankad,All-Rounder,LUK,245
Manav Suthar,Bowler,GJT,246
Phil Salt,Wicket Keeper,KOL,247
Jake Fraser-McGurk,Batsman,DEC,248
